Date,Item/Description,Amount,Mode,Remarks,Monthss,Paid/Unpaid,Paid By,Payment Date,Category,ID,Adv Check,PnL Category,PnL Type,Check,,,,,,,,Check
22/01/2025,Electricity,19470,Bank,,01-2025,Paid,Sameer,,Fixed Maintance,0002,,OpEx - Utilities,Expense,0,,,,,,,,TRUE
22/01/2025,Sales,19422,Wallet,,01-2025,,,,Sales,0003,,Revenue,Income,0,,,,,,,,TRUE
22/01/2025,Chicken,5627,Bank,Golden Chicken,01-2025,Paid,Sameer,,Inventory,0004,,COGS - NonVeg,Expense,0,,,,,,,,TRUE
22/01/2025,Sales,4759,Cash,,01-2025,,,,Sales,0005,,Revenue,Income,0,,,,,,,,TRUE
22/01/2025,Grocery,2801,Bank,Balaji,01-2025,Paid,Sameer,,Inventory,0006,,COGS - Grocery,Expense,0,,,,,,,,TRUE
22/01/2025,Sales,2183,Online Sale,,01-2025,,,,Sales,0007,,Revenue,Income,0,,,,,,,,TRUE
22/01/2025,Dairy,1617,Bank,Adarsh Dairy,01-2025,Paid,Sameer,,Inventory,0008,,COGS - Dairy,Expense,0,,,,,,,,TRUE
22/01/2025,Sales,1314,Card,,01-2025,,,,Sales,0009,,Revenue,Income,0,,,,,,,,TRUE
22/01/2025,Dairy,825,Cash,Egg,01-2025,Paid,Sameer,,Inventory,0010,,COGS - Dairy,Expense,0,,,,,,,,TRUE
22/01/2025,Vegetables,469,Bank,Gatha,01-2025,Paid,Bank,,Inventory,0011,,COGS - Veg,Expense,0,,,,,,,,TRUE
22/01/2025,Petrol,400,Cash,,01-2025,Paid,Sameer,,Bike Maintance,0012,,OpEx - Maintenance,Expense,0,,,,,,,,TRUE
22/01/2025,Bakery,325,Cash,,01-2025,Paid,Sameer,,Grocery,0013,,COGS - Grocery,Expense,0,,,,,,,,TRUE
22/01/2025,Sales,240,UPI,,01-2025,,,,Sales,0014,,Revenue,Income,0,,,,,,,,TRUE
22/01/2025,Tea,129,Cash,,01-2025,Paid,Sameer,,Staff Expenses,0015,,OpEx - Labor,Expense,0,,,,,,,,TRUE
22/01/2025,Stationary,100,Cash,,01-2025,Paid,Sameer,,Inventory,0016,,COGS - Inventory,Expense,0,,,,,,,,TRUE
22/01/2025,Vegetables,90,Due, ,01-2025,Paid,Sameer,,Inventory,0017,,COGS - Veg,Expense,0,,,,,,,,TRUE
22/01/2025,Electric Work,60,Cash,,01-2025,Paid,Sameer,,Maintance,0018,,OpEx - Maintenance,Expense,0,,,,,,,,TRUE
22/01/2025,Dairy,30,Cash,,01-2025,Paid,Sameer,,Inventory,0019,,COGS - Dairy,Expense,0,,,,,,,,TRUE
22/01/2025,Kinners,0,Cash,,01-2025,Paid,Sameer,,Maintance,0020,,OpEx - Misc,Expense,0,,,,,,,,TRUE
23/01/2025,Sales,10553,Wallet,,01-2025,,,,Sales,0021,,Revenue,Income,0,,,,,,,,TRUE
23/01/2025,Chicken,6577,Bank,Pita Bread,01-2025,Paid,Sameer,,Inventory,0022,,COGS - NonVeg,Expense,0,,,,,,,,TRUE
23/01/2025,Grocery,2540,Bank,,01-2025,Paid,Sameer,,Inventory,0023,,COGS - Grocery,Expense,0,,,,,,,,TRUE
23/01/2025,Sales,2410,Cash,,01-2025,,,,Sales,0024,,Revenue,Income,0,,,,,,,,TRUE
23/01/2025,Dairy,1486,Bank,Newspaper,01-2025,Paid,Sameer,,Inventory,0025,,COGS - Dairy,Expense,0,,,,,,,,TRUE
23/01/2025,Mutton,1480,Cash,Papaya,01-2025,Paid,Sameer,,Inventory,0026,,COGS - NonVeg,Expense,0,,,,,,,,TRUE
23/01/2025,Vegetables,680,Bank,,01-2025,Paid,Sameer,,Inventory,0027,,COGS - Veg,Expense,0,,,,,,,,TRUE
23/01/2025,Sales,467,Online Sale,Milk,01-2025,,,,Sales,0028,,Revenue,Income,0,,,,,,,,TRUE
23/01/2025,Maintenance,350,Cash,,01-2025,Paid,Sameer,,Maintance,0029,,OpEx - Maintenance,Expense,0,,,,,,,,TRUE
23/01/2025,Bakery,160,Cash,,01-2025,Paid,Sameer,,Grocery,0030,,COGS - Grocery,Expense,0,,,,,,,,TRUE
23/01/2025,Tea,120,Cash,Golden Chicken,01-2025,Paid,Sameer,,Staff Expenses,0031,,OpEx - Labor,Expense,0,,,,,,,,TRUE
24/01/2025,Sales,19947,Wallet,Balaji,01-2025,,,,Sales,0032,,Revenue,Income,0,,,,,,,,TRUE
24/01/2025,Advance,10300,Bank_Cash,,01-2025,Paid,Sameer,,Salary,0033,,OpEx - Labor,Expense,0,,,,,,,,TRUE
24/01/2025,Chicken,4243,Bank,Adarsh Dairy,01-2025,Paid,Sameer,,Inventory,0034,,COGS - NonVeg,Expense,0,,,,,,,,TRUE
24/01/2025,Grocery,3967,Bank,A1,01-2025,Paid,Sameer,,Inventory,0035,,COGS - Grocery,Expense,0,,,,,,,,TRUE
24/01/2025,Sales,3140,Cash,,01-2025,,,,Sales,0036,,Revenue,Income,0,,,,,,,,TRUE
24/01/2025,Dairy,1250,Bank,Adarsh Dairy,01-2025,Paid,Sameer,,Inventory,0037,,COGS - Dairy,Expense,0,,,,,,,,TRUE
24/01/2025,Sales,1038,Online Sale,,01-2025,,,,Sales,0038,,Revenue,Income,0,,,,,,,,TRUE
24/01/2025,Charcoal,840,Bank,Gyanshweri,01-2025,Paid,Sameer,,Inventory,0039,,COGS - Fuel,Expense,0,,,,,,,,TRUE
24/01/2025,Vegetables,580,Bank,,01-2025,Paid,Sameer,,Inventory,0040,,COGS - Veg,Expense,0,,,,,,,,TRUE
24/01/2025,Sales,550,UPI,,01-2025,,,,Sales,0041,,Revenue,Income,0,,,,,,,,TRUE
24/01/2025,Maintenance,350,Cash,Sealer machine repair,01-2025,Paid,Sameer,,Maintance,0042,,OpEx - Maintenance,Expense,0,,,,,,,,TRUE
24/01/2025,Sales,250,Card,,01-2025,,,,Sales,0043,,Revenue,Income,0,,,,,,,,TRUE
24/01/2025,Tea,100,Cash,,01-2025,Paid,Sameer,,Staff Expenses,0044,,OpEx - Labor,Expense,0,,,,,,,,TRUE
24/01/2025,Kinners,40,Cash,,01-2025,Paid,Sameer,,Maintance,0045,,OpEx - Misc,Expense,0,,,,,,,,TRUE
25/01/2025,Sales,26464,Wallet,,01-2025,,,,Sales,0046,,Revenue,Income,0,,,,,,,,TRUE
25/01/2025,Gas,9100,Bank,,01-2025,Paid,Sameer,,Fixed Maintance,0047,,OpEx - Utilities,Expense,0,,,,,,,,TRUE
25/01/2025,Sales,5660,Cash,,01-2025,,,,Sales,0048,,Revenue,Income,0,,,,,,,,TRUE
25/01/2025,Sales,3477,Online Sale,,01-2025,,,,Sales,0049,,Revenue,Income,0,,,,,,,,TRUE
25/01/2025,Sales,3400,UPI,,01-2025,,,,Sales,0050,,Revenue,Income,0,,,,,,,,TRUE
25/01/2025,Grocery,3373,Bank,Balaji,01-2025,Paid,Sameer,,Inventory,0051,,COGS - Grocery,Expense,0,,,,,,,,TRUE
25/01/2025,Disposable,3095,Bank,Anand ,01-2025,Paid,Sameer,,Inventory,0052,,COGS - Packaging,Expense,0,,,,,,,,TRUE
25/01/2025,Chicken,1928,Bank,Golden Chicken,01-2025,Paid,Sameer,,Inventory,0053,,COGS - NonVeg,Expense,0,,,,,,,,TRUE
25/01/2025,Beverages,1764,Cash,Cold Drinks,01-2025,Paid,Sameer,,Grocery,0054,,COGS - Grocery,Expense,0,,,,,,,,TRUE
25/01/2025,Dairy,1296,Bank,,01-2025,Paid,Sameer,,Inventory,0055,,COGS - Dairy,Expense,0,,,,,,,,TRUE
25/01/2025,Beverages,1200,Cash,Water Bottel,01-2025,Paid,Sameer,,Grocery,0056,,COGS - Grocery,Expense,0,,,,,,,,TRUE
25/01/2025,Electric Work,635,Cash,,01-2025,Paid,Sameer,,Maintance,0057,,OpEx - Maintenance,Expense,0,,,,,,,,TRUE
25/01/2025,Vegetables,570,Bank,,01-2025,Paid,Sameer,,Inventory,0058,,COGS - Veg,Expense,0,,,,,,,,TRUE
25/01/2025,Restaurant New Inventory,200,Cash,Mobile Stand,01-2025,Paid,Sameer,,New Inventory,0059,,OpEx - CapEx,Expense,0,,,,,,,,TRUE
25/01/2025,Tea,121,Cash,,01-2025,Paid,Sameer,,Staff Expenses,0060,,OpEx - Labor,Expense,0,,,,,,,,TRUE
25/01/2025,Dairy,40,Cash,Milk,01-2025,Paid,Sameer,,Inventory,0061,,COGS - Dairy,Expense,0,,,,,,,,TRUE
26/01/2025,Sales,33268,Wallet,,01-2025,,,,Sales,0062,,Revenue,Income,0,,,,,,,,TRUE
26/01/2025,Chicken,8385,Bank,,01-2025,Paid,Sameer,,Inventory,0063,,COGS - NonVeg,Expense,0,,,,,,,,TRUE
26/01/2025,Sales,3979,Cash,,01-2025,,,,Sales,0064,,Revenue,Income,0,,,,,,,,TRUE
26/01/2025,Grocery,3000,Bank,,01-2025,Paid,Sameer,,Inventory,0065,,COGS - Grocery,Expense,0,,,,,,,,TRUE
26/01/2025,Advance,2700,Bank_Cash,Disposable payment Umesh sir,01-2025,Paid,Sameer,,Salary,0066,,OpEx - Labor,Expense,0,,,,,,,,TRUE
26/01/2025,Dairy,2486,Bank,,01-2025,Paid,Sameer,,Inventory,0067,,COGS - Dairy,Expense,0,,,,,,,,TRUE
26/01/2025,Sales,1658,Online Sale,,01-2025,,,,Sales,0068,,Revenue,Income,0,,,,,,,,TRUE
26/01/2025,Sales,1620,Card,,01-2025,,,,Sales,0069,,Revenue,Income,0,,,,,,,,TRUE
26/01/2025,Dairy,1113,Cash,Egg,01-2025,Paid,Sameer,,Inventory,0070,,COGS - Dairy,Expense,0,,,,,,,,TRUE
26/01/2025,Sales,950,Zomato Pay,,01-2025,,,,Sales,0071,,Revenue,Income,0,,,,,,,,TRUE
26/01/2025,Vegetables,655,Bank,,01-2025,Paid,Sameer,,Inventory,0072,,COGS - Veg,Expense,0,,,,,,,,TRUE
26/01/2025,Bakery,485,Cash,Pita Bread,01-2025,Paid,Sameer,,Grocery,0073,,COGS - Grocery,Expense,0,,,,,,,,TRUE
